[0.39] In camera.cpp Camera::Initialize - device found 
[0.39] In main.cpp Camera Connection Initialized 
[0.39] Initializing FSM DAC - Commanding DAC_FULL_RESET =  2621441 
[0.39] fsmWrite - channel =  8 , data =  40 
[0.84] fsmWrite - channel =  9 , data =  81 
[0.84] fsmWrite - channel =  10 , data =  197 
[0.84] fsmWrite - channel =  8 , data =  1 
[0.84] fsmWrite - channel =  9 , data =  90 
[0.84] fsmWrite - channel =  10 , data =  27 
[0.84] fsmWrite - channel =  8 , data =  3 
[0.84] fsmWrite - channel =  9 , data =  84 
[0.84] fsmWrite - channel =  10 , data =  150 
[0.84] fsmWrite - channel =  8 , data =  18 
[0.84] fsmWrite - channel =  9 , data =  87 
[0.84] fsmWrite - channel =  10 , data =  74 
[0.85] fsmWrite - channel =  8 , data =  0 
[0.85] fsmWrite - channel =  9 , data =  82 
[0.85] fsmWrite - channel =  10 , data =  18 
[0.85] fsmWrite - channel =  8 , data =  1 
[0.85] fsmWrite - channel =  9 , data =  89 
[0.85] fsmWrite - channel =  10 , data =  206 
[0.85] fsmWrite - channel =  8 , data =  3 
[0.85] fsmWrite - channel =  9 , data =  83 
[0.85] fsmWrite - channel =  10 , data =  33 
[0.85] fsmWrite - channel =  8 , data =  18 
[0.85] fsmWrite - channel =  9 , data =  88 
[0.86] fsmWrite - channel =  10 , data =  191 
[0.86] fsmWrite - channel =  8 , data =  0 
[0.86] fsmWrite - channel =  9 , data =  82 
[0.86] fsmWrite - channel =  10 , data =  229 
[0.86] fsmWrite - channel =  8 , data =  1 
[0.86] fsmWrite - channel =  9 , data =  88 
[0.86] fsmWrite - channel =  10 , data =  251 
[0.86] fsmWrite - channel =  8 , data =  3 
[0.86] fsmWrite - channel =  9 , data =  81 
[0.86] fsmWrite - channel =  10 , data =  192 
[0.86] fsmWrite - channel =  8 , data =  18 
[0.86] fsmWrite - channel =  9 , data =  90 
[0.87] fsmWrite - channel =  10 , data =  32 
[0.87] fsmWrite - channel =  8 , data =  0 
[0.88] fsmWrite - channel =  9 , data =  84 
[0.88] fsmWrite - channel =  10 , data =  55 
[0.88] fsmWrite - channel =  8 , data =  1 
[0.88] fsmWrite - channel =  9 , data =  87 
[0.88] fsmWrite - channel =  10 , data =  169 
[0.88] fsmWrite - channel =  8 , data =  3 
[0.88] fsmWrite - channel =  9 , data =  80 
[0.88] fsmWrite - channel =  10 , data =  162 
[0.88] fsmWrite - channel =  8 , data =  18 
[0.88] fsmWrite - channel =  9 , data =  91 
[0.88] fsmWrite - channel =  10 , data =  62 
[0.89] fsmWrite - channel =  8 , data =  0 
[0.89] fsmWrite - channel =  9 , data =  85 
[0.89] fsmWrite - channel =  10 , data =  240 
[0.89] fsmWrite - channel =  8 , data =  1 
[0.89] fsmWrite - channel =  9 , data =  85 
[0.89] fsmWrite - channel =  10 , data =  240 
[0.89] fsmWrite - channel =  8 , data =  3 
[0.89] fsmWrite - channel =  9 , data =  79 
[0.89] fsmWrite - channel =  10 , data =  246 
[0.89] fsmWrite - channel =  8 , data =  18 
[0.90] fsmWrite - channel =  9 , data =  91 
[0.90] fsmWrite - channel =  10 , data =  234 
[0.90] fsmWrite - channel =  8 , data =  0 
[0.91] fsmWrite - channel =  9 , data =  87 
[0.91] fsmWrite - channel =  10 , data =  232 
[0.91] fsmWrite - channel =  8 , data =  1 
[0.91] fsmWrite - channel =  9 , data =  83 
[0.91] fsmWrite - channel =  10 , data =  248 
[0.91] fsmWrite - channel =  8 , data =  3 
[0.91] fsmWrite - channel =  9 , data =  79 
[0.91] fsmWrite - channel =  10 , data =  224 
[0.91] fsmWrite - channel =  8 , data =  18 
[0.91] fsmWrite - channel =  9 , data =  92 
[0.91] fsmWrite - channel =  10 , data =  0 
[0.92] fsmWrite - channel =  8 , data =  0 
[0.92] fsmWrite - channel =  9 , data =  89 
[0.92] fsmWrite - channel =  10 , data =  235 
[0.92] fsmWrite - channel =  8 , data =  1 
[0.92] fsmWrite - channel =  9 , data =  81 
[0.92] fsmWrite - channel =  10 , data =  245 
[0.92] fsmWrite - channel =  8 , data =  3 
[0.92] fsmWrite - channel =  9 , data =  80 
[0.92] fsmWrite - channel =  10 , data =  118 
[0.93] fsmWrite - channel =  8 , data =  18 
[0.93] fsmWrite - channel =  9 , data =  91 
[0.93] fsmWrite - channel =  10 , data =  106 
[0.94] fsmWrite - channel =  8 , data =  0 
[0.94] fsmWrite - channel =  9 , data =  91 
[0.94] fsmWrite - channel =  10 , data =  189 
[0.94] fsmWrite - channel =  8 , data =  1 
[0.94] fsmWrite - channel =  9 , data =  80 
[0.94] fsmWrite - channel =  10 , data =  35 
[0.94] fsmWrite - channel =  8 , data =  3 
[0.94] fsmWrite - channel =  9 , data =  81 
[0.94] fsmWrite - channel =  10 , data =  185 
[0.94] fsmWrite - channel =  8 , data =  18 
[0.95] fsmWrite - channel =  9 , data =  90 
[0.95] fsmWrite - channel =  10 , data =  39 
[0.95] fsmWrite - channel =  8 , data =  0 
[0.95] fsmWrite - channel =  9 , data =  93 
[0.96] fsmWrite - channel =  10 , data =  35 
[0.96] fsmWrite - channel =  8 , data =  1 
[0.96] fsmWrite - channel =  9 , data =  78 
[0.96] fsmWrite - channel =  10 , data =  189 
[0.96] fsmWrite - channel =  8 , data =  3 
[0.96] fsmWrite - channel =  9 , data =  83 
[0.96] fsmWrite - channel =  10 , data =  154 
[0.96] fsmWrite - channel =  8 , data =  18 
[0.96] fsmWrite - channel =  9 , data =  88 
[0.96] fsmWrite - channel =  10 , data =  70 
[0.97] fsmWrite - channel =  8 , data =  0 
[0.97] fsmWrite - channel =  9 , data =  93 
[0.97] fsmWrite - channel =  10 , data =  232 
[0.97] fsmWrite - channel =  8 , data =  1 
[0.97] fsmWrite - channel =  9 , data =  77 
[0.97] fsmWrite - channel =  10 , data =  248 
[0.97] fsmWrite - channel =  8 , data =  3 
[0.97] fsmWrite - channel =  9 , data =  85 
[0.97] fsmWrite - channel =  10 , data =  240 
[0.97] fsmWrite - channel =  8 , data =  18 
[0.98] fsmWrite - channel =  9 , data =  85 
[0.98] fsmWrite - channel =  10 , data =  240 
[0.98] In calibration.cpp Calibration::run - Pair 20 [ 1489.97727 , 819.28600 ] for FSM [ 0.06000 , 0.00000 ] 
[0.98] fsmWrite - channel =  8 , data =  0 
[0.98] fsmWrite - channel =  9 , data =  93 
[0.98] fsmWrite - channel =  10 , data =  229 
[0.98] fsmWrite - channel =  8 , data =  1 
[0.98] fsmWrite - channel =  9 , data =  77 
[0.99] fsmWrite - channel =  10 , data =  251 
[0.99] fsmWrite - channel =  8 , data =  3 
[0.99] fsmWrite - channel =  9 , data =  88 
[0.99] fsmWrite - channel =  10 , data =  133 
[0.99] fsmWrite - channel =  8 , data =  18 
[0.99] fsmWrite - channel =  9 , data =  83 
[0.99] fsmWrite - channel =  10 , data =  91 
[0.99] fsmWrite - channel =  8 , data =  0 
[0.99] fsmWrite - channel =  9 , data =  93 
[0.99] fsmWrite - channel =  10 , data =  7 
[1.00] fsmWrite - channel =  8 , data =  1 
[1.00] fsmWrite - channel =  9 , data =  78 
[1.00] fsmWrite - channel =  10 , data =  217 
[1.00] fsmWrite - channel =  8 , data =  3 
[1.00] fsmWrite - channel =  9 , data =  91 
[1.00] fsmWrite - channel =  10 , data =  22 
[1.00] fsmWrite - channel =  8 , data =  18 
[1.00] fsmWrite - channel =  9 , data =  80 
[1.00] fsmWrite - channel =  10 , data =  202 
[1.01] fsmWrite - channel =  8 , data =  0 
[1.01] fsmWrite - channel =  9 , data =  91 
[1.01] fsmWrite - channel =  10 , data =  82 
[1.01] fsmWrite - channel =  8 , data =  1 
[1.01] fsmWrite - channel =  9 , data =  80 
[1.01] fsmWrite - channel =  10 , data =  142 
[1.01] fsmWrite - channel =  8 , data =  3 
[1.01] fsmWrite - channel =  9 , data =  93 
[1.01] fsmWrite - channel =  10 , data =  89 
[1.01] fsmWrite - channel =  8 , data =  18 
[1.01] fsmWrite - channel =  9 , data =  78 
[1.01] fsmWrite - channel =  10 , data =  135 
[1.02] fsmWrite - channel =  8 , data =  0 
[1.02] fsmWrite - channel =  9 , data =  88 
[1.02] fsmWrite - channel =  10 , data =  228 
[1.02] fsmWrite - channel =  8 , data =  1 
[1.02] fsmWrite - channel =  9 , data =  82 
[1.02] fsmWrite - channel =  10 , data =  252 
[1.02] fsmWrite - channel =  8 , data =  3 
[1.02] fsmWrite - channel =  9 , data =  95 
[1.02] fsmWrite - channel =  10 , data =  8 
[1.02] fsmWrite - channel =  8 , data =  18 
[1.02] fsmWrite - channel =  9 , data =  76 
[1.02] fsmWrite - channel =  10 , data =  216 
[1.03] fsmWrite - channel =  8 , data =  0 
[1.03] fsmWrite - channel =  9 , data =  85 
[1.03] fsmWrite - channel =  10 , data =  240 
[1.03] fsmWrite - channel =  8 , data =  1 
[1.03] fsmWrite - channel =  9 , data =  85 
[1.03] fsmWrite - channel =  10 , data =  240 
[1.03] fsmWrite - channel =  8 , data =  3 
[1.03] fsmWrite - channel =  9 , data =  95 
[1.03] fsmWrite - channel =  10 , data =  230 
[1.03] fsmWrite - channel =  8 , data =  18 
[1.03] fsmWrite - channel =  9 , data =  75 
[1.03] fsmWrite - channel =  10 , data =  250 
[1.04] fsmWrite - channel =  8 , data =  0 
[1.04] fsmWrite - channel =  9 , data =  82 
[1.04] fsmWrite - channel =  10 , data =  189 
[1.04] fsmWrite - channel =  8 , data =  1 
[1.04] fsmWrite - channel =  9 , data =  89 
[1.04] fsmWrite - channel =  10 , data =  35 
[1.04] fsmWrite - channel =  8 , data =  3 
[1.04] fsmWrite - channel =  9 , data =  95 
[1.04] fsmWrite - channel =  10 , data =  202 
[1.04] fsmWrite - channel =  8 , data =  18 
[1.05] fsmWrite - channel =  9 , data =  76 
[1.05] fsmWrite - channel =  10 , data =  22 
[1.05] fsmWrite - channel =  8 , data =  0 
[1.05] fsmWrite - channel =  9 , data =  79 
[1.05] fsmWrite - channel =  10 , data =  158 
[1.05] fsmWrite - channel =  8 , data =  1 
[1.05] fsmWrite - channel =  9 , data =  92 
[1.05] fsmWrite - channel =  10 , data =  66 
[1.05] fsmWrite - channel =  8 , data =  3 
[1.05] fsmWrite - channel =  9 , data =  94 
[1.06] fsmWrite - channel =  10 , data =  164 
[1.06] fsmWrite - channel =  8 , data =  18 
[1.06] fsmWrite - channel =  9 , data =  77 
[1.06] fsmWrite - channel =  10 , data =  60 
[1.06] fsmWrite - channel =  8 , data =  0 
[1.06] fsmWrite - channel =  9 , data =  76 
[1.06] fsmWrite - channel =  10 , data =  234 
[1.06] fsmWrite - channel =  8 , data =  1 
[1.06] fsmWrite - channel =  9 , data =  94 
[1.06] fsmWrite - channel =  10 , data =  246 
[1.07] fsmWrite - channel =  8 , data =  3 
[1.07] fsmWrite - channel =  9 , data =  92 
[1.07] fsmWrite - channel =  10 , data =  126 
[1.07] fsmWrite - channel =  8 , data =  18 
[1.07] fsmWrite - channel =  9 , data =  79 
[1.07] fsmWrite - channel =  10 , data =  98 
[1.07] fsmWrite - channel =  8 , data =  0 
[1.07] fsmWrite - channel =  9 , data =  74 
[1.07] fsmWrite - channel =  10 , data =  243 
[1.07] fsmWrite - channel =  8 , data =  1 
[1.08] fsmWrite - channel =  9 , data =  96 
[1.08] fsmWrite - channel =  10 , data =  237 
[1.08] fsmWrite - channel =  8 , data =  3 
[1.08] fsmWrite - channel =  9 , data =  89 
[1.08] fsmWrite - channel =  10 , data =  130 
[1.08] fsmWrite - channel =  8 , data =  18 
[1.08] fsmWrite - channel =  9 , data =  82 
[1.08] fsmWrite - channel =  10 , data =  94 
[1.09] fsmWrite - channel =  8 , data =  0 
[1.09] fsmWrite - channel =  9 , data =  73 
[1.09] fsmWrite - channel =  10 , data =  252 
[1.09] fsmWrite - channel =  8 , data =  1 
[1.09] fsmWrite - channel =  9 , data =  97 
[1.09] fsmWrite - channel =  10 , data =  228 
[1.09] fsmWrite - channel =  8 , data =  3 
[1.09] fsmWrite - channel =  9 , data =  85 
[1.09] fsmWrite - channel =  10 , data =  240 
[1.09] fsmWrite - channel =  8 , data =  18 
[1.09] fsmWrite - channel =  9 , data =  85 
[1.09] fsmWrite - channel =  10 , data =  240 
[1.10] In calibration.cpp Calibration::run - Pair 30 [ 1586.83196 , 812.90267 ] for FSM [ -0.09000 , -0.00000 ] 
[1.10] fsmWrite - channel =  8 , data =  0 
[1.10] fsmWrite - channel =  9 , data =  74 
[1.10] fsmWrite - channel =  10 , data =  49 
[1.10] fsmWrite - channel =  8 , data =  1 
[1.10] fsmWrite - channel =  9 , data =  97 
[1.10] fsmWrite - channel =  10 , data =  175 
[1.10] fsmWrite - channel =  8 , data =  3 
[1.10] fsmWrite - channel =  9 , data =  82 
[1.10] fsmWrite - channel =  10 , data =  31 
[1.10] fsmWrite - channel =  8 , data =  18 
[1.10] fsmWrite - channel =  9 , data =  89 
[1.10] fsmWrite - channel =  10 , data =  193 
[1.11] fsmWrite - channel =  8 , data =  0 
[1.11] fsmWrite - channel =  9 , data =  75 
[1.11] fsmWrite - channel =  10 , data =  160 
[1.11] fsmWrite - channel =  8 , data =  1 
[1.11] fsmWrite - channel =  9 , data =  96 
[1.11] fsmWrite - channel =  10 , data =  64 
[1.11] fsmWrite - channel =  8 , data =  3 
[1.11] fsmWrite - channel =  9 , data =  78 
[1.11] fsmWrite - channel =  10 , data =  114 
[1.11] fsmWrite - channel =  8 , data =  18 
[1.11] fsmWrite - channel =  9 , data =  93 
[1.11] fsmWrite - channel =  10 , data =  110 
[1.12] fsmWrite - channel =  8 , data =  0 
[1.12] fsmWrite - channel =  9 , data =  78 
[1.12] fsmWrite - channel =  10 , data =  54 
[1.12] fsmWrite - channel =  8 , data =  1 
[1.12] fsmWrite - channel =  9 , data =  93 
[1.12] fsmWrite - channel =  10 , data =  170 
[1.12] fsmWrite - channel =  8 , data =  3 
[1.12] fsmWrite - channel =  9 , data =  75 
[1.12] fsmWrite - channel =  10 , data =  77 
[1.12] fsmWrite - channel =  8 , data =  18 
[1.12] fsmWrite - channel =  9 , data =  96 
[1.12] fsmWrite - channel =  10 , data =  147 
[1.13] fsmWrite - channel =  8 , data =  0 
[1.13] fsmWrite - channel =  9 , data =  81 
[1.13] fsmWrite - channel =  10 , data =  193 
[1.13] fsmWrite - channel =  8 , data =  1 
[1.13] fsmWrite - channel =  9 , data =  90 
[1.14] fsmWrite - channel =  10 , data =  31 
[1.14] fsmWrite - channel =  8 , data =  3 
[1.14] fsmWrite - channel =  9 , data =  73 
[1.14] fsmWrite - channel =  10 , data =  14 
[1.14] fsmWrite - channel =  8 , data =  18 
[1.14] fsmWrite - channel =  9 , data =  98 
[1.14] fsmWrite - channel =  10 , data =  210 
[1.14] fsmWrite - channel =  8 , data =  0 
[1.14] fsmWrite - channel =  9 , data =  85 
[1.15] fsmWrite - channel =  10 , data =  240 
[1.15] fsmWrite - channel =  8 , data =  1 
[1.15] fsmWrite - channel =  9 , data =  85 
[1.15] fsmWrite - channel =  10 , data =  240 
[1.15] fsmWrite - channel =  8 , data =  3 
[1.15] fsmWrite - channel =  9 , data =  71 
[1.15] fsmWrite - channel =  10 , data =  254 
[1.15] fsmWrite - channel =  8 , data =  18 
[1.15] fsmWrite - channel =  9 , data =  99 
[1.15] fsmWrite - channel =  10 , data =  226 
[1.16] fsmWrite - channel =  8 , data =  0 
[1.16] fsmWrite - channel =  9 , data =  90 
[1.16] fsmWrite - channel =  10 , data =  94 
[1.16] fsmWrite - channel =  8 , data =  1 
[1.16] fsmWrite - channel =  9 , data =  81 
[1.16] fsmWrite - channel =  10 , data =  130 
[1.16] fsmWrite - channel =  8 , data =  3 
[1.16] fsmWrite - channel =  9 , data =  72 
[1.16] fsmWrite - channel =  10 , data =  76 
[1.16] fsmWrite - channel =  8 , data =  18 
[1.16] fsmWrite - channel =  9 , data =  99 
[1.16] fsmWrite - channel =  10 , data =  148 
[1.17] fsmWrite - channel =  8 , data =  0 
[1.17] fsmWrite - channel =  9 , data =  94 
[1.17] fsmWrite - channel =  10 , data =  154 
[1.18] fsmWrite - channel =  8 , data =  1 
[1.18] fsmWrite - channel =  9 , data =  77 
[1.18] fsmWrite - channel =  10 , data =  70 
[1.18] fsmWrite - channel =  8 , data =  3 
[1.18] fsmWrite - channel =  9 , data =  74 
[1.18] fsmWrite - channel =  10 , data =  3 
[1.18] fsmWrite - channel =  8 , data =  18 
[1.18] fsmWrite - channel =  9 , data =  97 
[1.18] fsmWrite - channel =  10 , data =  221 
[1.19] fsmWrite - channel =  8 , data =  0 
[1.19] fsmWrite - channel =  9 , data =  98 
[1.19] fsmWrite - channel =  10 , data =  47 
[1.19] fsmWrite - channel =  8 , data =  1 
[1.19] fsmWrite - channel =  9 , data =  73 
[1.19] fsmWrite - channel =  10 , data =  177 
[1.19] fsmWrite - channel =  8 , data =  3 
[1.19] fsmWrite - channel =  9 , data =  77 
[1.20] fsmWrite - channel =  10 , data =  10 
[1.20] fsmWrite - channel =  8 , data =  18 
[1.20] fsmWrite - channel =  9 , data =  94 
[1.20] fsmWrite - channel =  10 , data =  214 
[1.21] fsmWrite - channel =  8 , data =  0 
[1.21] fsmWrite - channel =  9 , data =  100 
[1.21] fsmWrite - channel =  10 , data =  183 
[1.21] fsmWrite - channel =  8 , data =  1 
[1.21] fsmWrite - channel =  9 , data =  71 
[1.21] fsmWrite - channel =  10 , data =  41 
[1.21] fsmWrite - channel =  8 , data =  3 
[1.21] fsmWrite - channel =  9 , data =  81 
[1.21] fsmWrite - channel =  10 , data =  35 
[1.21] fsmWrite - channel =  8 , data =  18 
[1.22] fsmWrite - channel =  9 , data =  90 
[1.22] fsmWrite - channel =  10 , data =  189 
[1.23] fsmWrite - channel =  8 , data =  0 
[1.23] fsmWrite - channel =  9 , data =  101 
[1.23] fsmWrite - channel =  10 , data =  224 
[1.23] fsmWrite - channel =  8 , data =  1 
[1.23] fsmWrite - channel =  9 , data =  70 
[1.23] fsmWrite - channel =  10 , data =  0 
[1.23] fsmWrite - channel =  8 , data =  3 
[1.23] fsmWrite - channel =  9 , data =  85 
[1.23] fsmWrite - channel =  10 , data =  240 
[1.23] fsmWrite - channel =  8 , data =  18 
[1.23] fsmWrite - channel =  9 , data =  85 
[1.24] fsmWrite - channel =  10 , data =  240 
[1.25] In calibration.cpp Calibration::run - Pair 40 [ 1446.36579 , 811.38924 ] for FSM [ 0.12000 , 0.00000 ] 
[1.25] fsmWrite - channel =  8 , data =  0 
[1.25] fsmWrite - channel =  9 , data =  101 
[1.25] fsmWrite - channel =  10 , data =  121 
[1.25] fsmWrite - channel =  8 , data =  1 
[1.25] fsmWrite - channel =  9 , data =  70 
[1.25] fsmWrite - channel =  10 , data =  103 
[1.25] fsmWrite - channel =  8 , data =  3 
[1.25] fsmWrite - channel =  9 , data =  90 
[1.25] fsmWrite - channel =  10 , data =  252 
[1.25] fsmWrite - channel =  8 , data =  18 
[1.26] fsmWrite - channel =  9 , data =  80 
[1.26] fsmWrite - channel =  10 , data =  228 
[1.26] fsmWrite - channel =  8 , data =  0 
[1.26] fsmWrite - channel =  9 , data =  99 
[1.26] fsmWrite - channel =  10 , data =  121 
[1.26] fsmWrite - channel =  8 , data =  1 
[1.27] fsmWrite - channel =  9 , data =  72 
[1.27] fsmWrite - channel =  10 , data =  103 
